"","bclim12","bclim14","bclim15","bclim18","bclim19","bclim3","bclim6","bclim7","bclim8","bclim9"
"1",344,9,61.9767112731934,126,29,37.682056427002,-11.4440002441406,42.1119995117188,16.7473335266113,-3.57866668701172
"2",837,28,41.0806846618652,239,105,33.2678260803223,-4.09999990463257,39.1799964904785,20.3026657104492,3.66733336448669
"3",245,8,36.8443298339844,41,84,42.4884643554688,-7.36399984359741,39.5879974365234,0.209999963641167,19.4220008850098
"4",475,11,62.3759422302246,207,34,28.1742630004883,-18.068000793457,46.8560028076172,17.8880004882812,-10.3693332672119
"5",312,13,35.0653648376465,54,110,36.0925598144531,-11.9280004501343,43.128002166748,-3.72200012207031,19.1046676635742
"6",119,1,50.5454406738281,29,35,46.8533363342285,3.74399995803833,36.9280014038086,28.2180004119873,24.8819999694824
"7",1410,2,121.546951293945,1023,40,68.3466339111328,10.6280002593994,20.5559997558594,25.2646656036377,21.5419998168945
"8",489,10,66.8409423828125,213,31,36.3929023742676,-11.496000289917,43.1760025024414,19.5726661682129,-2.84400010108948
"9",325,4,49.3510246276855,90,101,43.6665153503418,3.66799998283386,35.8360023498535,30.3486671447754,23.7859992980957
"10",498,13,58.8406410217285,209,44,40.8046913146973,-4.7519998550415,37.5879974365234,22.9033336639404,3.9706666469574
"11",351,5,71.6971664428711,157,17,37.989013671875,-11.3879995346069,43.931999206543,19.5446662902832,-2.08333325386047
"12",842,2,115.273620605469,361,64,63.7339057922363,11.4720001220703,26.0960006713867,26.7493343353271,23.7786674499512
"13",177,0,107.071487426758,109,44,60.5666389465332,7.83200025558472,28.060001373291,28.0826663970947,22.0493335723877
"14",260,13,31.2147884368896,73,40,37.3036804199219,-10.9200000762939,39.3919982910156,9.760666847229,-4.57933330535889
"15",312,11,47.5880393981934,96,43,37.6802444458008,-13.2600002288818,36.431999206543,9.37800025939941,-7.31599998474121
"16",839,20,51.9132690429688,339,72,26.6962337493896,-14.6520004272461,43.2919998168945,19.4626655578613,-7.44733333587646
"17",333,16,30.3997535705566,111,52,41.0216751098633,-10.5,36.2280006408691,12.6393337249756,-4.1560001373291
"18",509,16,45.6282691955566,163,60,41.6505661010742,1.24000000953674,33.1319999694824,24.4586658477783,10.7559995651245
"19",350,15,31.7903308868408,68,116,40.0138854980469,-7.96799993515015,39.3680000305176,-1.26400005817413,18.7606658935547
"20",364,23,20.3825702667236,92,76,38.7163200378418,-14.9079999923706,35.2840003967285,2.87199997901917,-3.59800004959106
"21",317,10,37.5349998474121,39,110,42.2828483581543,-7.40399980545044,36.9480018615723,-0.126666620373726,18.0393333435059
"22",374,7,41.8737258911133,102,99,46.8471412658691,-1.75999999046326,39.6359977722168,26.4759998321533,20.0839996337891
"23",455,12,62.7648468017578,215,41,43.6355094909668,-5.72799968719482,38.4320030212402,23.5520000457764,3.24400019645691
"24",412,9,72.9521560668945,174,34,64.3108749389648,4.63600015640259,22.1440010070801,17.6199989318848,13.6346664428711
"25",420,11,66.6140365600586,151,50,46.1387138366699,4.45599985122681,32.2000007629395,28.3346672058105,15.1193332672119
"26",412,15,36.2307014465332,57,143,41.9147567749023,-10.1280002593994,37.3519973754883,-2.51333332061768,14.6979999542236
"27",327,11,26.5808334350586,79,74,40.8354377746582,-9.59200000762939,41.1440010070801,16.0693340301514,13.6253328323364
"28",322,11,34.421314239502,42,108,39.234375,-6.28000020980835,34.4119987487793,0.223333239555359,18.042667388916
"29",69,0,60.6322441101074,25,22,46.7641181945801,5.6399998664856,33.931999206543,29.228666305542,25.291332244873
"30",1555,108,11.5469026565552,406,403,39.261589050293,4.53200006484985,28.6200008392334,25.9873332977295,15.703332901001
"31",463,11,63.3318176269531,207,39,42.1473846435547,-5.19199991226196,37.8600006103516,24.3139991760254,3.80733323097229
"32",370,4,87.8441467285156,151,33,64.4892501831055,2.02799987792969,28.1680011749268,19.0259990692139,15.8579998016357
"33",390,10,51.4438438415527,126,34,40.0572471618652,-10.7119998931885,41.3400001525879,14.0460004806519,-1.53666663169861
"34",656,18,63.1946105957031,246,70,47.4930725097656,9,26.4599990844727,28.4093322753906,18.050666809082
"35",1035,35,38.2138137817383,309,118,31.7908878326416,-5.98799991607666,38.7479972839355,18.6079998016357,1.42599999904633
"36",418,11,63.0995445251465,169,84,50.9032516479492,-6.78800010681152,36.7560005187988,19.2800006866455,13.2653331756592
"37",744,17,52.6883277893066,311,62,27.0820827484131,-20.011999130249,46.6520004272461,18.703332901001,-11.264666557312
"38",323,4,89.4995803833008,165,24,48.7423667907715,0.312000006437302,35.8079986572266,25.9526672363281,11.5826663970947
"39",442,9,64.2798614501953,192,29,38.3125534057617,-8.60400009155273,42.992000579834,22.2486667633057,0.705333292484283
"40",246,7,56.1476974487305,83,25,37.7080497741699,-11.7440004348755,40.8559989929199,16.263334274292,-3.9226667881012
"41",916,35,36.8409004211426,318,116,27.540153503418,-11.7600002288818,41.7560005187988,20.7199993133545,-4.60866689682007
"42",520,3,117.077461242676,296,65,56.4590339660645,8.30799961090088,29.8600006103516,29.1553325653076,22.728666305542
