,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
0,-1.416917183,-1.389064411,-1.068352844,-0.723001083,1.073779006,0.260162591,0.45489717,-0.820857583,0.026826407,-0.352335128,0.156850771,-0.135071775,-0.175866987,0.358113924,-0.22908071,-0.011507108,-0.019164773,-0.108014483,0.00824943,-0.099273763
0,1.438249751,3.572966204,0.12538366,-0.886317762,-0.044164375,-0.968079034,0.508885861,0.380522656,-0.460462814,0.318569538,0.041830482,0.003679124,0.064930524,0.161849339,-0.167502324,0.017780757,0.036366778,4.40E-05,0.05453679,0.001336135
0,-0.07544037,-0.3696715,-1.560085173,-0.06587902,0.165524337,0.310687517,0.232559073,-0.481349144,0.105520173,-0.044968028,0.112879349,-0.061347966,-0.085287121,0.3337887,-0.293685142,-0.083281585,-0.012131623,0.011867055,-0.031734931,-0.056511995
0,-0.577940995,-2.189015496,-1.534311226,-1.032631973,0.238631941,0.087898303,0.607902631,-0.469353242,0.108019536,0.260036534,-0.007166568,0.043066161,0.025391493,0.008667737,-0.109998032,-0.06466803,0.080766196,0.005862953,0.061248584,-0.013138881
0,3.222074375,0.099438199,-0.405453536,-0.83266776,0.813434854,-0.695287026,0.319710104,0.265734071,-0.169582603,-0.006305077,0.020597304,0.054119183,0.076125171,-0.007959393,-0.025631177,0.031280599,-0.002885296,-0.03455966,-0.040559051,-0.061206148
0,0.51182369,-1.44403436,-1.843161184,0.177901559,0.251001787,0.39876277,0.212535255,-0.484661298,0.212156702,-0.066926542,0.171637941,-0.137909005,-0.130690743,0.343433339,-0.336043242,-0.095107505,-0.080685873,-0.048743458,0.003544516,-0.10333153
0,-1.071599511,0.195659247,-0.944319699,1.438460077,0.012725918,0.343986845,-0.057519732,-0.397114996,0.175860103,-0.023311618,0.040382137,-0.068968913,-0.086759841,0.30428344,-0.311485772,-0.117699418,0.013851741,0.008196915,-0.055103556,-0.044859995
0,0.956252188,-0.84363656,-2.722344445,-1.118657549,-1.592348952,0.199456574,-0.048723181,-0.291521059,0.142890585,0.336513759,-0.110491405,0.050375728,0.061332102,-0.227154918,0.161794748,0.065876271,0.023827149,0.050729516,0.029790119,0.077605625
0,-1.311013169,0.365683309,-1.062410343,1.418191937,-0.108898588,0.395566256,-0.12220971,-0.289770804,0.206393199,-0.08900566,0.070497443,-0.117791065,-0.115825379,0.278778181,-0.291862448,-0.154064118,-0.028118003,-0.034874012,-0.069803072,-0.038914961
0,-2.708102306,3.054572443,-0.420158566,1.640146514,0.406488125,0.326564678,-0.128720487,-0.457189345,0.055901814,-0.248447558,-0.018680979,-0.033500848,-0.158260503,0.240043257,-0.224252233,-0.099826025,-0.016161516,-0.002986256,-0.088376011,-0.017925496
0,-1.702834756,-0.716566949,-0.085761993,-1.080647216,-0.735770447,-0.330940791,-0.438538908,-0.127054964,-0.267589662,0.17595934,0.166529532,-0.184261701,-0.073849445,0.351483861,-0.151496479,0.05109688,-0.045794314,-0.045056244,-0.001848091,0.022016605
0,-0.248690188,-0.257650038,-1.5146329,0.107715964,0.107004002,0.338980155,0.178644951,-0.499548164,0.09936878,-0.046592686,0.087014992,-0.04371604,-0.079643034,0.310161862,-0.300499314,-0.071483049,-0.003308715,0.006121944,-0.025084316,-0.073759375
0,1.934940823,-0.731099858,0.500319016,1.057464743,0.534852846,-0.349940775,-0.459431157,-0.165267547,0.296496651,-0.01274853,-0.070993611,0.038515282,0.014098943,0.024939851,0.001936622,0.022913912,0.075248335,-0.000825349,0.036914557,0.000625477
0,3.71862491,-3.260208283,0.147553336,0.452656021,1.243921474,-0.6120823,-0.116344913,-0.093903863,-0.095989015,0.11180545,0.02866333,-0.017711602,0.033759043,0.046307379,-0.024001967,0.043154426,-0.001981414,-0.067081046,4.22E-06,-0.066322398
0,-5.793388111,3.204077526,1.574887457,0.330706626,2.839486207,0.222236237,-0.991403951,-0.632643905,-1.064645771,0.605051011,0.073380981,0.014539616,-0.063781376,0.221361399,-0.154957049,0.145832592,0.064510075,-0.078316021,-0.035182808,0.039154979
0,-3.344400714,-1.515632008,-1.50648246,-1.101860889,-1.664104105,0.099920863,0.141457729,0.532604425,0.351728192,0.117488826,-0.02159438,0.010996387,0.04993836,-0.061433074,-0.043773671,-0.121427297,0.006306541,0.054801629,-0.053573619,0.094924617
0,-1.892050418,-1.482334528,-1.047979479,-0.250865367,1.377029419,0.438606214,0.197207008,-0.70768929,0.160047383,-0.187967092,0.246352657,-0.228253938,-0.206320689,0.449811873,-0.270701436,0.073094405,-0.036604272,-0.114281085,0.045721434,-0.127347295
0,-0.048830643,-0.932144777,-1.355171659,1.182472472,0.208369706,0.388642326,0.071530125,-0.525185276,0.178712492,0.082585288,0.063299718,-0.057555412,-0.080646583,0.239480904,-0.267085802,-0.074685686,0.00064933,-0.003636722,-0.010305809,-0.065128168
0,3.390447765,-0.123003594,-0.5528523,-1.047189292,0.751466536,-0.707503321,0.40672541,0.304894508,-0.198137996,-0.039560046,-0.004773296,0.078519028,0.086784694,-0.023090965,-0.000788844,0.023792298,0.011639088,-0.022480824,-0.039664539,-0.040787048
0,-0.22666868,-0.57142989,-1.127140885,0.831674957,0.138881324,0.260647581,0.166357586,-0.549214422,0.14481788,-0.11810081,0.04334682,-0.041452174,-0.095162137,0.301497367,-0.295906031,-0.092192904,0.00889125,-0.000331748,-0.034180248,-0.083124748
0,1.997233826,1.013550656,-1.37774605,-0.378771169,-0.395366984,-0.072259292,-0.229653401,0.424666595,0.077412307,0.054647838,-0.024192927,0.017516396,0.029929505,-0.051895839,0.065375976,0.043987141,-0.010168378,0.011197529,-0.042441125,0.036772488
0,-0.728016352,-1.757780445,0.097598801,-0.437931237,-0.305843075,-0.41970501,-0.103995513,-0.447902149,-0.29278475,0.067324423,0.053406393,-0.072831386,-0.035828842,0.311730695,-0.153279946,0.026704137,0.005871927,0.012194912,0.010247647,-0.005900226
0,0.227692116,-0.793386135,-2.222608593,-0.649114743,-1.314028679,0.386007241,-0.101830062,-0.360181864,0.060271572,0.269945513,-0.010979609,0.014311026,-0.002296998,-0.00277498,-0.045977262,0.021300343,-0.00301233,0.027835764,0.017101488,0.012850895
0,-0.606392926,-1.419098963,-1.786133193,-0.441724477,0.051268327,0.395237675,0.373806833,-0.77450679,0.109732043,-0.047911805,0.121967444,-0.07531432,-0.110136759,0.284493036,-0.267040766,-0.051463436,-0.037627067,-0.016344328,0.021531744,-0.082351295
0,-3.418704139,-1.857778116,-1.313643388,-0.571437991,-2.043887003,-0.018576536,0.272781714,0.569912404,0.384371518,0.14943954,-0.031015219,0.057356464,0.069958987,-0.092446114,-0.078946204,-0.086313558,0.020288796,0.053097319,-0.033511236,0.053505936
0,-1.380772796,0.801353487,-0.977161108,0.558512333,0.246756502,0.347817008,0.067029488,-0.575904613,-0.150012586,-0.172483639,-0.029021693,0.085475619,-0.068486456,0.323691148,-0.307626548,-0.113170273,0.055630233,0.061696628,-0.034177664,-0.042032337
0,-0.519227742,0.949063783,-0.261810499,-0.203952887,0.038086563,-0.173405026,-0.467199677,-0.673197833,-0.166328745,0.906880572,0.118891869,0.006838214,0.061501884,0.030994241,-0.033663456,0.195731673,0.04489244,0.048485243,0.017251349,0.033454673
0,-2.326178958,8.396539131,-1.306483403,-0.174395417,-2.011958274,-0.118256511,0.967609879,-0.554175066,-0.427291941,-0.774522547,-0.26916249,0.165900251,-0.055605102,0.026714748,-0.02055576,-0.048242117,0.024972613,0.103520411,-0.035677591,0.038073491
0,1.868250568,1.781748379,-0.518215333,0.51997206,-0.029472691,-0.270632463,-0.158849794,0.293299703,0.071776756,0.033288629,-0.045919794,0.004089137,0.033256286,-0.128709472,0.114991642,0.073437141,-0.022102078,-0.006282311,0.016502658,0.020194622
0,1.324542139,2.304011998,-1.768007769,-0.326341776,-0.409524995,0.054342882,-0.437272631,0.542142864,0.546713535,0.109497526,0.084934941,-0.049887634,0.015995099,0.093169643,-0.078372434,0.038998906,0.004532129,0.029596805,-0.022019655,0.009101584
0,-1.39482455,-1.86519479,-1.561787735,-0.272981518,-0.475040808,0.118098616,0.720314176,0.044902682,0.654123817,0.267612418,-0.036261862,0.02872214,0.030405121,0.022868957,-0.171733887,-0.085982634,0.04444959,0.122459467,-0.060773936,0.014294822
0,-0.237352012,-1.271530815,-2.165711726,-0.591938249,-0.649669252,0.472524071,0.008415894,-0.324843283,0.143121691,-0.120288642,0.126464905,-0.102189277,-0.133352941,0.380249751,-0.349002936,-0.140985151,-0.069210729,-0.016813436,0.0003734,-0.076144956
0,-0.09705755,-0.822019834,-1.304152105,0.842295619,0.218493913,0.329115657,0.085084791,-0.508348714,0.137638952,0.030572604,0.09136919,-0.072087397,-0.098180398,0.305230601,-0.298560085,-0.07479491,-0.002676803,-0.01315564,-0.007656904,-0.084265381
0,-1.164623151,0.256144749,-1.041474981,1.40695071,-0.074874401,0.381774297,-0.100904011,-0.356515563,0.189207831,-0.084070812,0.063230133,-0.102062277,-0.1116597,0.288152402,-0.300742459,-0.14416149,-0.017515784,-0.028168484,-0.068845241,-0.047745183
0,-0.511167049,-2.114956005,-0.077486984,0.115579585,-0.833069035,-0.421497383,-0.094795098,-0.275965674,-0.011504339,0.452146358,0.084966566,-0.123566337,-0.009867359,0.199389744,-0.10297241,0.144288188,-0.015951871,0.035587191,0.044539051,-0.015075019
0,-3.681092147,8.91482429,2.255342716,4.34993221,0.801667234,-0.224890089,0.190932695,-1.18554048,-0.26613219,0.166287656,-0.237088258,-0.209542695,-0.265535762,0.274415914,-0.122852013,-0.08250812,0.092452689,0.014545636,-0.062634324,0.175855044
0,0.642708177,-0.829075826,-2.3641449,-0.694709643,-1.40036154,0.377545066,-0.048200618,-0.320901558,0.106643471,0.301998542,-0.067456771,0.042061007,0.037480603,-0.151225784,0.081293672,0.052538417,0.014626485,0.037893541,0.030026305,0.045874226
0,-0.900871773,0.243560631,-1.583382728,-0.076291185,-0.115718981,0.398224411,0.123310298,-0.39194222,0.061776022,-0.142072791,0.03303605,0.017203615,-0.071784408,0.316349498,-0.3058808,-0.120269984,0.020645586,0.042536074,-0.030202737,-0.046621549
0,1.635189241,1.494147255,-1.823682486,-0.824798665,-0.476173411,-0.045506417,-0.372711618,0.430796483,0.472145753,-0.104831858,0.082161699,-0.071093383,-0.026175775,0.153326213,-0.098538749,0.003807729,-0.029102237,-0.000342264,-0.058654619,-0.00937665
0,-2.249651709,2.657005357,-0.778812427,1.20098212,0.128529003,0.415598797,-0.016088026,-0.381547328,0.120757463,-0.227630496,0.013734975,-0.030848658,-0.142638933,0.228939103,-0.233906037,-0.104903428,-0.022443225,-0.002321789,-0.085016246,-0.030675373
0,-1.295922529,-1.788508137,-2.07877818,-1.544382241,-1.047516607,0.201732495,0.485972315,-0.047374954,0.5297769,0.172181098,-0.049211878,0.027209367,0.044749774,0.031751471,-0.134921809,-0.091268429,0.034139595,0.123384071,-0.057115529,0.025512461
0,2.643178504,0.405294686,-1.003980175,-0.493631459,0.271463809,-0.146104768,-0.190910403,0.230397965,0.167934355,-0.100607966,0.040917068,0.026137616,0.023182003,0.013558042,0.010044931,0.027219325,0.000894509,-0.027695753,-0.008572987,-0.000433279
