bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,elevation
15.30562496,24.28333282,7.418000221,752.5499878,146.6000061,3,83.17974091,377.7799988,21,27.5,371.7399902,14.02416706,44.56797028,691.7158813,31.70499992,-1.029999971,31.88899994,7.555500031,23.42749977,508.2815552
11.37379169,21.34899902,1.96116662,235.0800018,34,7,45.27336121,94.09999847,27.05999947,30.05999947,94.27999878,14.52041626,40.07337952,790.5896606,28.62800026,-7.437000275,36.06800079,1.96116662,21.24749947,1167.416382
11.55562496,19.89299965,3.573166609,225.9900055,33,7,42.74668121,86,27,27,86,13.26799965,35.49832153,771.2142944,26.44300079,-3.503000021,31.01300049,3.73183322,21.28816605,1165
11.31895828,20.04400063,2.755500078,215.3500061,30,7,41.25161362,83,27,27,83,12.32549953,38.51675797,702.3166504,25.02099991,-4.921000004,31.54999924,3.050499916,20.36899948,1165
11.88312531,22.89333344,2.05583334,196.5099945,26,7.5,35.20145035,73,28.5,30,73.5,15.25683308,38.77409744,837.7230835,31.10000038,-6.284999847,38.56000137,2.05583334,22.40333366,1245.982666
15.02504158,24.33666611,8.069832802,769.8599854,139.7899933,3,83.02702332,380.4500122,20.22999954,27.5,373.6700134,14.30008316,44.62087631,675.7432861,31.94000053,-0.379999995,31.57400131,7.865166664,24.25849915,458.0647583
10.328125,20.33716583,1.242666721,248.2299957,34.09999847,8.100000381,42.02129745,96.30000305,31.20999908,31.20999908,96.30000305,14.506917,40.39992905,787.0903931,28.73799896,-7.170000076,35.90800095,1.251166701,20.33716583,1494.96936
10.67104149,20.41816711,1.282666683,245.7100067,32.29999924,8,39.43231964,90.94999695,32.29999924,32.29999924,91.44999695,14.44108295,41.14712906,774.5952148,28.71999931,-6.43599987,34.80899811,1.592499971,20.02700043,1533.467407
11.59624958,21.18333244,1.910333276,229.3999939,31,7,41.54596329,88,27,30,88,10.88758373,37.94655991,791.0858765,29.90399933,-6.840000153,36.11399841,2.665833473,21.05516624,1165
11.32083321,19.96216583,3.279999971,204.9799957,29,7,38.73983383,77,27,27,77,9.940917015,37.65602112,762.1491089,27.75600052,-4.349999905,34.28699875,3.279999971,19.72083282,1165
